Segmentation,LeftSpeed,RightSpeed,HeadSpeed,LeftAccel,RightAccel,HeadAccel,RightLeftDist,LeftHeadDist,RightHeadDist
0,0.001,0.001,0.011,0.002,0.002,0.018,4.505,22.419,21.368
0,0.001,0.001,0.01,0.002,0.001,0.016,4.504,22.396,21.344
2,0.001,0.001,0.011,0.003,0.001,0.017,4.504,22.382,21.332
0,0.001,0.003,0.01,0.003,0.005,0.015,4.505,22.413,21.37
1,0.001,0.002,0.012,0.002,0.003,0.018,4.506,22.437,21.397
2,0.003,0.002,0.012,0.005,0.003,0.018,4.51,22.412,21.374
0,0.002,0.002,0.011,0.004,0.004,0.018,4.508,22.38,21.354
0,0.002,0.002,0.011,0.003,0.003,0.017,4.506,22.396,21.376
0,0.002,0.001,0.012,0.003,0.002,0.019,4.506,22.427,21.406
2,0.003,0.002,0.01,0.005,0.003,0.015,4.505,22.404,21.392
8,0.131,0.077,0.042,0.104,0.064,0.042,5.269,22.764,21.883
3,0.271,0.13,0.121,0.254,0.111,0.102,8.384,26.612,24.537
2,0.205,0.037,0.074,0.215,0.034,0.06,8.486,27.203,24.381
2,1.121,0.283,0.274,1.081,0.263,0.196,14.44,28.623,22.111
6,0.513,0.374,0.23,0.523,0.321,0.204,11.541,23.813,22.417
4,0.281,0.107,0.177,0.214,0.094,0.16,9.307,15.505,18.894
2,0.134,0.04,0.037,0.113,0.033,0.034,5.783,14.634,18.16
1,0.164,0.043,0.1,0.135,0.045,0.067,5.902,15.397,18.368
3,0.746,0.124,0.464,0.568,0.093,0.281,7.65,18.806,19.99
9,0.143,0.033,0.089,0.156,0.039,0.094,12.43,22.852,22.342
3,0.391,0.022,0.135,0.202,0.029,0.076,13.989,23.412,22.398
12,1.543,0.222,0.486,1.202,0.122,0.355,16.096,22.671,21.666
2,0.389,0.072,0.226,0.389,0.061,0.172,6.969,15.295,19.414
3,0.159,0.026,0.067,0.157,0.029,0.053,4.692,16.276,19.133
4,0.977,0.026,0.263,0.822,0.022,0.198,14.552,20.556,19.62
10,0.602,0.061,0.23,0.309,0.04,0.094,12.372,16.366,19.345
1,0.112,0.036,0.038,0.093,0.034,0.024,5.833,14,18.543
0,0.143,0.052,0.058,0.12,0.051,0.031,3.362,17.408,18.381
1,0.234,0.059,0.03,0.184,0.071,0.025,4.449,18.716,17.844
0,0.588,0.057,0.157,0.431,0.044,0.117,8.775,16.241,18.391
3,0.509,0.082,0.116,0.41,0.077,0.11,14.976,19.814,19.635
12,0.659,0.09,0.263,0.552,0.095,0.217,10.907,17.36,18.802
0,0.176,0.041,0.038,0.15,0.04,0.03,4.849,14.585,18.119
0,0.602,0.035,0.213,0.397,0.035,0.134,10.807,15.992,19.007
16,0.895,0.027,0.171,0.619,0.025,0.103,18.648,22.159,19.851
1,0.286,0.031,0.071,0.264,0.029,0.062,6.118,14.623,18.591
0,0.261,0.063,0.055,0.224,0.059,0.046,7.925,13.087,18.589
4,0.646,0.517,0.293,0.537,0.412,0.228,15.251,20.243,19.385
10,0.984,0.329,0.219,0.639,0.322,0.193,13.553,23.977,21.755
6,0.786,0.032,0.07,0.566,0.036,0.062,19.968,28.047,21.993
1,0.62,0.017,0.034,0.588,0.016,0.035,21.315,26.4,22.279
5,0.612,0.092,0.022,0.491,0.067,0.027,21.327,26.945,22.078
6,0.938,0.194,0.046,0.836,0.183,0.056,20.633,26.702,21.255
1,0.699,0.173,0.071,0.652,0.162,0.081,16.381,22.16,20.087
2,0.431,0.562,0.094,0.549,0.552,0.067,10.896,19.476,19.821
3,0.107,0.094,0.027,0.139,0.116,0.035,10.852,19.933,18.756
1,0.137,0.165,0.035,0.133,0.181,0.042,11.034,20.467,19.645
1,0.202,0.124,0.027,0.217,0.145,0.035,9.326,20.055,19.764
3,0.118,0.119,0.015,0.105,0.128,0.021,9.194,20.252,19.204
0,0.154,0.223,0.029,0.182,0.258,0.034,10.754,21.313,20.386
2,0.693,0.307,0.089,0.617,0.383,0.08,12.338,23.135,21.221
10,0.746,0.206,0.104,0.731,0.184,0.109,14.428,26.467,21.552
7,0.558,0.149,0.08,0.341,0.125,0.065,14.237,24.219,21.269
3,0.496,0.201,0.113,0.316,0.162,0.083,17.534,24.21,21.245
5,0.343,0.162,0.078,0.212,0.102,0.048,11.522,21.499,20.921
5,0.715,0.084,0.114,0.747,0.074,0.135,7.96,20.65,19.83
2,0.842,0.021,0.081,0.876,0.019,0.063,9.926,20.986,19.19
3,0.155,0.013,0.043,0.126,0.016,0.033,11.866,21.787,19.221
3,0.195,0.135,0.073,0.187,0.167,0.065,10.175,21.012,18.685
2,0.062,0.071,0.127,0.052,0.078,0.105,10.209,19.201,17.39
2,0.052,0.009,0.12,0.091,0.011,0.092,9.856,17.237,15.563
1,0.02,0.005,0.019,0.029,0.008,0.015,9.858,17.089,15.23
1,0.038,0.004,0.014,0.035,0.008,0.015,9.776,17.11,15.156
2,0.038,0.005,0.063,0.046,0.008,0.047,9.691,17.379,15.284
5,0.224,0.01,0.128,0.22,0.012,0.111,9.559,18.453,16.721
2,0.342,0.017,0.05,0.3,0.017,0.047,8.964,17.752,17.012
1,0.108,0.085,0.064,0.082,0.067,0.049,9.473,19.335,16.772
2,0.038,0.01,0.073,0.037,0.014,0.071,9.564,18.02,16.275
0,0.032,0.003,0.02,0.039,0.006,0.021,9.467,17.237,15.757
1,0.038,0.005,0.152,0.052,0.008,0.165,9.472,17.653,15.806
0,0.044,0.004,0.036,0.057,0.006,0.034,9.479,17.77,15.78
4,0.277,0.041,0.154,0.305,0.044,0.143,10.28,18.362,16.1
1,0.113,0.108,0.324,0.116,0.156,0.289,10.041,17.776,15.798
0,0.066,0.007,0.029,0.099,0.011,0.031,9.877,17.092,15.298
1,0.046,0.006,0.03,0.058,0.01,0.021,9.682,16.797,15.051
0,0.047,0.007,0.014,0.068,0.01,0.017,9.662,16.599,14.859
1,0.044,0.007,0.032,0.062,0.011,0.037,9.481,16.394,14.779
0,0.032,0.006,0.016,0.043,0.01,0.02,9.437,16.231,14.547
1,0.054,0.005,0.021,0.065,0.009,0.02,9.207,16.289,14.708
2,0.081,0.007,0.038,0.114,0.012,0.036,9.055,16.39,14.747
0,0.034,0.006,0.014,0.044,0.01,0.016,9.032,16.48,14.669
